Tipo de residuo;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2020;882.886
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2019;1.029.102
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2018;1.128.714
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2017;1.123.413
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2016;1.073.045
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2015;1.108.156
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2014;1.090.966
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2013;1.052.980
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2012;1.134.763
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2011;1.151.544
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;05 Canarias;2010;1.220.612
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2021;244.288
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2020;239.966
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2019;246.898
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2018;246.839
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2017;240.509
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2016;241.085
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2015;240.609
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2014;235.816
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2013;236.156
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2012;246.177
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2011;259.307
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;06 Cantabria;2010;259.965
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2021;892.278
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2020;882.539
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2019;899.205
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2018;915.396
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2017;898.486
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2016;906.336
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2015;918.192
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2014;916.318
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2013;838.782
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2012;923.318
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2011;973.608
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;07 Castilla y León;2010;887.984
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2021;773.922
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2020;818.154
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2019;816.939
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2018;849.572
