Fecha;EUA;CER;SPREAD (EUA - CER)
02-01-2020;24.24;0.24;24
03-01-2020;24.86;0.24;"24,62"
06-01-2020;24.11;0.25;"23,86"
07-01-2020;24.44;0.25;"24,19"
08-01-2020;23.98;0.26;"23,72"
09-01-2020;24.28;0.25;"24,03"
10-01-2020;24.12;0.26;"23,86"
13-01-2020;24.06;0.25;"23,81"
14-01-2020;23.77;0.25;"23,52"
15-01-2020;24.42;0.25;"24,17"
16-01-2020;24.76;0.25;"24,51"
17-01-2020;25.33;0.25;"25,08"
20-01-2020;25.10;0.24;"24,86"
21-01-2020;24.84;0.24;"24,6"
22-01-2020;24.94;0.24;"24,7"
23-01-2020;24.63;0.25;"24,38"
24-01-2020;24.31;0.25;"24,06"
27-01-2020;24.52;0.25;"24,27"
28-01-2020;24.58;0.25;"24,33"
29-01-2020;23.92;0.26;"23,66"
30-01-2020;23.67;0.26;"23,41"
31-01-2020;23.81;0.26;"23,55"
03-02-2020;23.15;0.27;"22,88"
04-02-2020;23.30;0.27;"23,03"
05-02-2020;23.71;0.27;"23,44"
06-02-2020;23.50;0.27;"23,23"
07-02-2020;23.26;0.27;"22,99"
10-02-2020;23.11;0.27;"22,84"
11-02-2020;23.25;0.27;"22,98"
12-02-2020;23.83;0.26;"23,57"
13-02-2020;24.35;0.25;"24,1"
14-02-2020;24.24;0.25;"23,99"
17-02-2020;25.01;0.25;"24,76"
18-02-2020;25.03;0.25;"24,78"
19-02-2020;25.65;0.26;"25,39"
20-02-2020;25.58;0.26;"25,32"
21-02-2020;25.53;0.26;"25,27"
24-02-2020;24.52;0.27;"24,25"
25-02-2020;24.14;0.26;"23,88"
26-02-2020;24.22;0.26;"23,96"
27-02-2020;23.56;0.26;"23,3"
28-02-2020;23.55;0.26;"23,29"
02-03-2020;23.49;0.27;"23,22"
03-03-2020;23.33;0.27;"23,06"
04-03-2020;23.91;0.29;"23,62"
05-03-2020;23.78;0.29;"23,49"
06-03-2020;23.40;0.29;"23,11"
09-03-2020;23.25;0.30;"22,95"
10-03-2020;24.07;0.29;"23,78"
11-03-2020;23.89;0.29;"23,6"
12-03-2020;22.48;0.29;"22,19"
13-03-2020;21.92;0.29;"21,63"
16-03-2020;19.42;0.29;"19,13"
17-03-2020;18.25;0.28;"17,97"
18-03-2020;15.23;0.29;"14,94"
19-03-2020;16.30;0.29;"16,01"
20-03-2020;16.02;0.29;"15,73"
23-03-2020;15.45;0.29;"15,16"
