Fecha;EUA;CER;SPREAD (EUA - CER)
02-01-2023;83.18;0.00;"83,18"
03-01-2023;80.59;0.00;"80,59"
04-01-2023;76.40;0.00;"76,4"
05-01-2023;76.14;0.00;"76,14"
06-01-2023;74.67;0.00;"74,67"
09-01-2023;78.67;0.00;"78,67"
10-01-2023;77.66;0.00;"77,66"
11-01-2023;76.09;0.00;"76,09"
12-01-2023;77.34;0.00;"77,34"
13-01-2023;77.00;0.00;77
16-01-2023;75.15;0.00;"75,15"
17-01-2023;76.74;0.00;"76,74"
18-01-2023;80.44;0.00;"80,44"
19-01-2023;81.06;0.00;"81,06"
20-01-2023;82.23;0.00;"82,23"
23-01-2023;82.32;0.00;"82,32"
24-01-2023;79.88;0.00;"79,88"
25-01-2023;81.81;0.00;"81,81"
26-01-2023;86.42;0.00;"86,42"
27-01-2023;86.14;0.00;"86,14"
30-01-2023;86.53;0.00;"86,53"
31-01-2023;89.85;0.00;"89,85"
01-02-2023;92.19;0.00;"92,19"
02-02-2023;89.81;0.00;"89,81"
03-02-2023;90.07;0.00;"90,07"
06-02-2023;87.73;0.00;"87,73"
07-02-2023;87.38;0.00;"87,38"
08-02-2023;87.28;0.00;"87,28"
09-02-2023;87.90;0.00;"87,9"
10-02-2023;89.93;0.00;"89,93"
13-02-2023;89.17;0.00;"89,17"
14-02-2023;89.18;0.00;"89,18"
15-02-2023;91.22;0.00;"91,22"
16-02-2023;94.33;0.00;"94,33"
17-02-2023;93.07;0.00;"93,07"
20-02-2023;94.86;0.00;"94,86"
21-02-2023;97.04;0.00;"97,04"
22-02-2023;93.54;0.00;"93,54"
23-02-2023;94.30;0.00;"94,3"
24-02-2023;94.07;0.00;"94,07"
27-02-2023;96.85;0.00;"96,85"
28-02-2023;96.39;0.00;"96,39"
01-03-2023;93.54;0.00;"93,54"
02-03-2023;89.84;0.00;"89,84"
03-03-2023;89.15;0.00;"89,15"
06-03-2023;89.75;0.00;"89,75"
07-03-2023;92.65;0.00;"92,65"
08-03-2023;94.66;0.00;"94,66"
09-03-2023;95.18;0.00;"95,18"
10-03-2023;96.60;0.00;"96,6"
13-03-2023;92.70;0.00;"92,7"
14-03-2023;90.25;0.00;"90,25"
15-03-2023;87.48;0.00;"87,48"
16-03-2023;85.15;0.00;"85,15"
17-03-2023;84.52;0.00;"84,52"
20-03-2023;85.08;0.00;"85,08"
21-03-2023;88.12;0.00;"88,12"
22-03-2023;86.52;0.00;"86,52"
23-03-2023;90.13;0.00;"90,13"
24-03-2023;85.20;0.00;"85,2"
27-03-2023;84.77;0.00;"84,77"
28-03-2023;86.61;0.00;"86,61"
29-03-2023;87.54;0.00;"87,54"
30-03-2023;87.81;0.00;"87,81"
31-03-2023;89.04;0.00;"89,04"
03-04-2023;92.98;0.00;"92,98"
04-04-2023;92.29;0.00;"92,29"
05-04-2023;93.84;0.00;"93,84"
06-04-2023;93.99;0.00;"93,99"
11-04-2023;94.75;0.00;"94,75"
12-04-2023;93.52;0.00;"93,52"
13-04-2023;92.08;0.00;"92,08"
14-04-2023;91.28;0.00;"91,28"
17-04-2023;90.56;0.00;"90,56"
18-04-2023;93.18;0.00;"93,18"
19-04-2023;92.34;0.00;"92,34"
20-04-2023;89.50;0.00;"89,5"
21-04-2023;88.76;0.00;"88,76"
24-04-2023;86.34;0.00;"86,34"
25-04-2023;84.59;0.00;"84,59"
27-04-2023;83.80;0.00;"83,8"
28-04-2023;85.10;0.00;"85,1"
01-05-2023;83.71;0.00;"83,71"
02-05-2023;86.17;0.00;"86,17"
03-05-2023;82.80;0.00;"82,8"
04-05-2023;81.90;0.00;"81,9"
05-05-2023;82.86;0.00;"82,86"
08-05-2023;83.28;0.00;"83,28"
09-05-2023;84.90;0.00;"84,9"
10-05-2023;86.89;0.00;"86,89"
11-05-2023;86.22;0.00;"86,22"
12-05-2023;86.21;0.00;"86,21"
15-05-2023;84.68;0.00;"84,68"
16-05-2023;86.46;0.00;"86,46"
17-05-2023;85.94;0.00;"85,94"
18-05-2023;87.73;0.00;"87,73"
19-05-2023;87.24;0.00;"87,24"
22-05-2023;85.65;0.00;"85,65"
23-05-2023;83.41;0.00;"83,41"
24-05-2023;83.05;0.00;"83,05"
25-05-2023;80.94;0.00;"80,94"
26-05-2023;80.47;0.00;"80,47"
29-05-2023;80.90;0.00;"80,9"
30-05-2023;78.89;0.00;"78,89"
31-05-2023;79.20;0.00;"79,2"
01-06-2023;77.52;0.00;"77,52"
02-06-2023;77.58;0.00;"77,58"
05-06-2023;80.70;0.00;"80,7"
06-06-2023;79.94;0.00;"79,94"
07-06-2023;81.70;0.00;"81,7"
08-06-2023;81.62;0.00;"81,62"
09-06-2023;84.48;0.00;"84,48"
12-06-2023;85.95;0.00;"85,95"
13-06-2023;87.98;0.00;"87,98"
14-06-2023;90.78;0.00;"90,78"
15-06-2023;90.91;0.00;"90,91"
16-06-2023;89.81;0.00;"89,81"
19-06-2023;89.98;0.00;"89,98"
20-06-2023;91.89;0.00;"91,89"
21-06-2023;88.55;0.00;"88,55"
22-06-2023;88.20;0.00;"88,2"
23-06-2023;85.90;0.00;"85,9"
26-06-2023;84.30;0.00;"84,3"
27-06-2023;86.87;0.00;"86,87"
28-06-2023;85.80;0.00;"85,8"
29-06-2023;85.94;0.00;"85,94"
30-06-2023;87.17;0.00;"87,17"
